品牌,分类,机型,配置,颜色,部位,数量,程度,类型,价格,日期,分类状态
,手机,,,,,,,,11100,2024-10-21,未分类
,手机,,,,外观,2处,轻微,磨损,10750,2024-10-21,未分类
,手机,,,,尾插,,轻微,磨损,10600,2024-10-21,未分类
,手机,,,,外观,3-5处,轻微,磨损,10250,2024-10-21,未分类
,手机,,,,尾插,,轻微,磨损,6100,2024-10-21,未分类
,手机,,,,小屏,,轻微,磨损,6000,2024-10-21,未分类
,手机,,,,尾插,,厉害,磨损,5800,2024-10-21,未分类
,手机,,,,,,大,大花,5400,2024-10-21,未分类
,手机,,,,,,,,5200,2024-10-21,未分类
,手机,,,,屏幕,,,磨损,5150,2024-10-21,未分类
,手机,,,,,2处,大,磕碰,200,2024-10-21,未分类
,手机,,,,,2处,轻微,磕碰,100,2024-10-21,未分类
OPPO,手机,A5X,12+256G,白,屏幕,3-5处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,A5X,12+256G,白,屏幕,3-5处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,A5X,12+256G,白,屏幕,3-5处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,A5X,12+256G,白,屏幕,,,磨损,512,2024-10-21,已分类
OPPO,手机,A5X,12+256G,白,屏幕,1处,轻微,磨损,256,2024-10-21,未分类
OPPO,手机,A5X,12+256G,白,屏幕,,,磨损,256,2024-10-21,已分类
OPPO,手机,A5X,12+256G,白,,,,,128,2024-10-21,已分类
OPPO,手机,Find X8,16+512G,星野黑,屏幕,3-5处,轻微,磨损,2600,2024-10-21,已分类
OPPO,手机,Find X8,16+512G,星野黑,屏幕,1处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S,16+512G,粉,屏幕,,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,,,,,2900,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,屏幕,,,磨损,2200,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,手机壳,,轻微,磨损,2100,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,手机壳,,严重,磨损,1650,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,屏幕,,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,屏幕,,,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,外观,2处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,外观,2处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,屏幕,,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,屏幕,,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,,,,,256,2024-10-21,已分类
OPPO,手机,Find X8S+,16+512G,紫,屏幕,3-5处,轻微,磨损,256,2024-10-21,已分类
OPPO,手机,Reno14,16+512G,绿,屏幕,3-5处,轻微,磨损,512,2024-10-21,未分类
OPPO,手机,Reno14,16+512G,绿,屏幕,3-5处,轻微,磨损,512,2024-10-21,未分类
OPPO,手机,Reno14,16+512G,绿,屏幕,3-5处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Reno14,16+512G,绿,屏幕,3-5处,轻微,磨损,512,2024-10-21,已分类
OPPO,手机,Reno14,16+512G,绿,外观,,,磨损,512,2024-10-21,已分类
OPPO,手机,Reno14,16+512G,绿,屏幕,,轻微,磨损,512,2024-10-21,已分类
